,Longitudes,dew,DATE,min_aod,ceiling,Latitudes,temperature,wind_y,precipitation_duration,max_aod,wind_x,pressure,mean_aod,STATION,pm25,Unnamed: 0,visibility,precipitation_depth
2998,34.14896369,32.625,2018-02-03,0.041,22000.0,-118.3156088,18.84166667,60.9179873,1.92,0.162,-11.60935782,10172.95833,0.100048193,89.0,,,,
3088,34.18620397,18.92592593,2018-02-01,0.091,22000.0,-118.3156088,18.45925926,-41.59484399,1.92,0.239,-39.64621713,10140.08333,0.144711111,90.0,,,,
3089,34.18620397,32.625,2018-02-03,0.046,22000.0,-118.3156088,18.84166667,60.9179873,1.92,0.227,-11.60935782,10172.95833,0.118554054,90.0,,,,
3176,33.66484012,49.28571429,2018-02-01,0.168,20820.42857,-118.3605246,17.93333333,-96.88441668,0.0,0.213,-18.85640675,,0.1812,61.0,,,,
3177,33.66484012,66.92307692,2018-02-03,0.058,22000.0,-118.3605246,18.5,-46.75990333,0.0,0.146,39.4554067,,0.090134146,61.0,,,,
3244,33.70208039,49.28571429,2018-02-01,0.105,20820.42857,-118.3605246,17.93333333,-96.88441668,0.0,0.261,-18.85640675,,0.1825,62.0,,,,
3245,33.70208039,66.92307692,2018-02-03,0.027,22000.0,-118.3605246,18.5,-46.75990333,0.0,0.152,39.4554067,,0.08752439,62.0,,,,
3332,33.73932067,49.28571429,2018-02-01,0.089,20820.42857,-118.3605246,17.93333333,-96.88441668,0.0,0.261,-18.85640675,,0.162065574,63.0,,,,
3333,33.73932067,66.92307692,2018-02-03,0.034,22000.0,-118.3605246,18.5,-46.75990333,0.0,0.163,39.4554067,,0.078580247,63.0,,,,
3422,33.77656094,49.28571429,2018-02-01,0.094,20820.42857,-118.3605246,17.93333333,-96.88441668,0.0,0.242,-18.85640675,,0.141278689,64.0,,,,
3423,33.77656094,66.92307692,2018-02-03,0.04,22000.0,-118.3605246,18.5,-46.75990333,0.0,0.14,39.4554067,,0.081538462,64.0,,,,
3511,33.81380122,49.28571429,2018-02-01,0.086,20820.42857,-118.3605246,17.93333333,-96.88441668,0.0,0.216,-18.85640675,,0.131280702,65.0,,,,
3512,33.81380122,66.92307692,2018-02-03,0.034,22000.0,-118.3605246,18.5,-46.75990333,0.0,0.138,39.4554067,,0.081884615,65.0,,,,
3602,33.85104149,49.28571429,2018-02-01,0.083,20820.42857,-118.3605246,17.93333333,-96.88441668,0.0,0.216,-18.85640675,,0.119489796,66.0,,,,
3603,33.85104149,66.92307692,2018-02-03,0.043,22000.0,-118.3605246,18.5,-46.75990333,0.0,0.137,39.4554067,,0.0729875,66.0,,,,
3694,33.88828177,59.70833333,2018-02-01,0.083,22000.0,-118.3605246,17.25416667,-15.65363494,1.92,0.231,107.5985198,10149.04167,0.117478261,67.0,,,,
3695,33.88828177,88.875,2018-02-03,0.049,22000.0,-118.3605246,17.14583333,3.883156813,1.0,0.146,-23.07892378,10183.375,0.085107143,67.0,,,,
3786,33.92552204,59.70833333,2018-02-01,0.092,22000.0,-118.3605246,17.25416667,-15.65363494,1.92,0.17,107.5985198,10149.04167,0.13231746,68.0,,,,
3787,33.92552204,88.875,2018-02-03,0.051,22000.0,-118.3605246,17.14583333,3.883156813,1.0,0.138,-23.07892378,10183.375,0.100666667,68.0,,,,
3878,33.96276232,68.78571429,2018-02-01,0.082,20210.2963,-118.3605246,16.98214286,46.36820144,1.92,0.222,10.72614254,10148.14286,0.144150685,69.0,,,,
3879,33.96276232,95.60714286,2018-02-03,0.068,22000.0,-118.3605246,17.13214286,-4.74894259,1.92,0.182,77.63563557,10183.0,0.115089744,69.0,,,,
3969,34.00000259,68.78571429,2018-02-01,0.078,20210.2963,-118.3605246,16.98214286,46.36820144,1.92,0.174,10.72614254,10148.14286,0.1258,70.0,,,,
3970,34.00000259,95.60714286,2018-02-03,0.057,22000.0,-118.3605246,17.13214286,-4.74894259,1.92,0.164,77.63563557,10183.0,0.1059,70.0,,,,
4060,34.03724287,68.78571429,2018-02-01,0.091,20210.2963,-118.3605246,16.98214286,46.36820144,1.92,0.181,10.72614254,10148.14286,0.121418182,71.0,,,,
4061,34.03724287,95.60714286,2018-02-03,0.046,22000.0,-118.3605246,17.13214286,-4.74894259,1.92,0.157,77.63563557,10183.0,0.096794872,71.0,,,,
4149,34.07448314,18.92592593,2018-02-01,0.096,22000.0,-118.3605246,18.45925926,-41.59484399,1.92,0.166,-39.64621713,10140.08333,0.119176471,72.0,,,,
4150,34.07448314,32.625,2018-02-03,0.065,22000.0,-118.3605246,18.84166667,60.9179873,1.92,0.129,-11.60935782,10172.95833,0.103,72.0,,,,
